Sample	Interaction Redundancy	Interaction Diversity
SAMD00115015	4.537640944186059	18.281800813301178
SAMD00115025	4.460249868400611	16.254955435033335
SAMD00115027	5.864034336166943	18.832773704815843
SAMD00114971	5.783822999383606	21.457550635720253
SAMD00114968	3.7012948374888164	14.609952850978537
SAMD00114970	3.5373246652222887	13.028115181890728
SAMD00115016	4.875492904540198	18.88158672518945
SAMD00115017	4.978402669552323	17.726813344136456
SAMD00115019	3.8895312998523006	14.610010633901393
SAMD00115023	4.265074880524553	15.590976386150142
SAMD00114973	4.913216287326453	19.005259134531315
SAMD00115018	7.733276559302722	25.473100927964282
SAMD00115022	4.318438366171203	17.058226147595537
SAMD00114997	1.1105155288339816	4.303186716990525
SAMD00115032	2.606294813849237	9.765606588098263
SAMD00114998	5.317093029143536	18.8715912743661
SAMD00114995	8.2600127313774	28.303113130046334
SAMD00114996	7.701377080484559	28.027633636923646
SAMD00115033	4.059686231507823	15.355773755703854
SAMD00114736	3.086992794657271	11.389936998033487
SAMD00114745	2.027092028303457	8.698364971730982
SAMD00114747	7.654591438169143	23.4130778215994
SAMD00114832	11.115646683427157	39.613668467476316
SAMD00114741	5.205818610207527	17.57949433227502
SAMD00114833	3.637652152695661	14.232393039365707
SAMD00114757	6.864091440780104	24.839956106928714
SAMD00114834	10.677101068413535	33.40799973272696
SAMD00114815	5.6582352927174915	21.884865279958916
SAMD00114974	5.69531077221469	19.5582656573835
SAMD00114979	8.351672288332683	29.264494899776476
SAMD00114769	9.219460035992318	29.19386110260173
SAMD00114770	4.039050515237194	14.814232657485704
SAMD00114771	3.098733287190735	12.864826529801482
SAMD00114975	7.954262520488256	27.08918024498606
SAMD00114773	11.778225691590057	38.339466050588904
SAMD00114718	2.431424697105292	10.225075936677397
SAMD00114976	7.254485564373705	26.09789410672908
SAMD00114977	1.6222787165190349	6.984589714355357
SAMD00114719	8.578589645171723	30.146898511043368
SAMD00114720	1.415102472201029	6.143636847611397
SAMD00114721	2.63131618989514	10.364685855000268
SAMD00114984	3.6585783505764047	13.411015584190244
SAMD00114800	2.762121353660541	11.490185643180604
SAMD00114982	7.995381087920536	24.68749975312716
SAMD00114795	2.463376495860556	9.890136310116665
SAMD00114986	7.740054020965915	26.90048911419492
SAMD00114796	6.772888756348237	24.48178617705686
SAMD00114987	7.818594686652868	27.92431260127526
SAMD00114798	3.7709315561108827	13.762279174640364
SAMD00114989	1.8609363291534866	7.470885572514776
SAMD00114990	6.139416734983604	22.99199990792668
SAMD00114991	6.987880674851481	23.8891291986726
SAMD00114992	4.301311132909921	16.65807390702466
SAMD00114780	6.977028578506095	25.437408154175866
SAMD00114781	13.325845182914561	45.24045410170302
SAMD00114994	6.0208907041586075	23.538988133169173
SAMD00114778	3.0058921663373743	12.052739047137026
SAMD00114779	7.142592080642224	23.59383254421109
SAMD00114730	11.866612448640641	41.308260636041624
SAMD00115001	6.275263201885582	20.59321466586103
SAMD00114734	7.324635437472223	25.971068154560157
SAMD00115002	1.101136726336323	4.891472703979192
SAMD00115003	2.695517519092584	11.229463136184044
SAMD00115004	19.875500915473527	62.79121935567969
SAMD00114789	8.04438583620612	27.781283619809823
SAMD00114791	9.73208588276276	35.33416177775585
SAMD00114792	9.599050643285084	31.476461057181496
SAMD00114783	3.5287925344471307	13.39917689516896
SAMD00114784	2.796207986726877	9.886004730846034
SAMD00115008	14.340329516973773	46.74587467164559
SAMD00114785	9.944568613349084	32.626944230342005
SAMD00115009	12.521536727458805	42.85343803297276
SAMD00115005	12.870429389962533	35.43674238712275
SAMD00115012	11.587252675353529	40.96833174147043
SAMD00114819	0.8343702589931932	3.9138331183431196
SAMD00114807	3.553993580979263	13.509933767668015
SAMD00114809	13.93132831181687	49.529742643568184
SAMD00114812	4.599165724616214	16.87268512886626
SAMD00114829	9.131459656831877	25.8786585406273
SAMD00114830	3.7312028985662473	15.035381291046118
SAMD00114862	11.029200491784822	35.7404177437242
SAMD00114858	1.1438493359498834	5.3488383311878165
SAMD00114824	6.144236921321311	16.99999966000008
SAMD00114818	8.534729184981362	29.17329662400243
SAMD00114842	1.1557235283122778	5.046181304276079
SAMD00114843	6.130200263753363	21.235470678822885
SAMD00114845	3.673224444600339	13.748407320812106
SAMD00114850	8.190925107566343	28.555011076083957
SAMD00114865	5.959956547971362	21.34527259971297
SAMD00114867	23.02620519291926	73.20864070340932
SAMD00114869	3.8921845388096186	15.114535523785198
SAMD00114854	1.562569407281231	5.912566532871683
SAMD00114859	4.158883807820628	15.313298216363197
SAMD00114837	8.248861458965743	25.291442554951946
SAMD00114838	4.542292507558045	16.252108878265503
SAMD00114860	11.367117257275435	38.149225128423886
SAMD00114926	6.473282483779567	24.10230629517107
SAMD00114888	9.815797616384359	35.66911023411702
SAMD00114889	2.4842316560283795	9.92154547367364
SAMD00114872	8.679062930835672	29.595572759729063
SAMD00114873	5.076692816537908	16.744939525619802
SAMD00114938	3.4861928310794132	14.089818480927407
SAMD00114929	13.727586799487103	43.09033701664905
SAMD00114874	2.2870100594805565	9.914586138681644
SAMD00114932	2.8211103320656097	12.476405163157482
SAMD00114940	2.476034184359408	10.877587783539273
