Sample	Interaction Redundancy	Interaction Diversity
SAMD00114895	8.503477557435255	28.67404313561058
SAMD00114876	13.046488772032816	39.17096214103633
SAMD00114942	3.7622480325674093	12.525631215103484
SAMD00114898	12.58837939115053	42.14865521364509
SAMD00114908	5.38558544508351	19.513011335395802
SAMD00114918	7.573418708607907	26.5209318441086
SAMD00114950	4.471854423867613	19.4808713653563
SAMD00114913	9.73363768664178	31.797743918395614
SAMD00114953	3.9598506566538374	15.18351161296187
SAMD00114945	6.580376448941599	19.802705474168974
SAMD00114880	3.6277570263642263	15.327199938703439
SAMD00114959	5.919176691618719	22.586709055504485
SAMD00114899	7.026761891490392	24.302370877525536
SAMD00114881	1.1953839953076275	5.080352302984249
SAMD00114882	12.22168962794217	44.089520752391124
SAMD00114900	11.563398527632556	39.780168179564086
SAMD00114901	2.6203491905447236	10.789558813780406
SAMD00114963	7.742607797450505	27.17631909928734
SAMD00114885	6.069144806566907	20.895942710112852
SAMD00114906	15.940515062559914	48.00499764332101
SAMD00114967	5.107274262819965	16.86327499162316
SAMD00136653	3.752307776807871	12.627874542531256
SAMD00164727	3.812645251371791	14.054761911827002
SAMD00164729	2.80256401061948	11.482806562673362
SAMD00164748	3.7372371513050755	11.201354033090382
SAMD00154991	4.122245387107099	16.669444244593155
SAMD00164756	2.552261094333854	10.86621516939293
SAMD00164758	0.640380800181142	3.1072990331861767
SAMD00154992	3.388559848276146	13.853979598800867
SAMD00136648	4.6640012669492865	16.50524754090532
SAMD00164773	5.858616227396523	21.823264897723973
SAMD00164774	1.7660992021024824	8.155118584586223
SAMD00164803	3.8737319999608855	15.522167037939518
SAMD00164805	17.172637781611495	52.05425043424179
SAMD00164806	2.9805573249147868	11.50910459783002
SAMD00164809	4.026651976600469	13.34676536092036
SAMD00164814	6.276754193154842	22.055772199752074
SAMD00164819	8.189730092459387	28.048089517366687
SAMD00164823	14.935970549495925	51.899889856866885
SAMD00164824	15.32196214811291	47.81704587116315
SAMD00164825	10.500968177381566	35.54799123954513
SAMD00164827	13.579480663828011	47.29940817946861
SAMD00164828	8.729700717696355	30.660200582971438
SAMD00164833	8.723291374203987	30.50630894144513
SAMD00164835	3.820596445863899	15.90098476611087
SAMD00164837	6.354750809449897	22.47289818132182
SAMD00164840	2.3053157645833555	8.08150673242324
SAMD00164848	7.492749129155063	24.85911041074155
SAMD00164849	8.578568269121412	30.506720207756285
SAMD00164853	14.216708446583928	42.82296728031143
SAMD00164855	5.760877475487929	21.605243007203367
SAMD00164856	4.468138092103881	16.576426394233287
SAMD00164862	6.227849649195175	20.61119983510618
SAMD00164865	10.272146754287467	36.904381669048504
SAMD00164870	13.833697102691742	46.72957016420126
SAMD00164873	1.1198556813788376	4.633242199517874
SAMD00164877	12.203741703731815	41.18562580354789
SAMD00164878	11.25781426800344	37.089566134253374
SAMD00164879	7.039969566571949	24.453531845611742
SAMD00164881	11.271640659134908	36.68561228257656
SAMD00164882	3.7064979165428595	13.58246098123003
SAMD00164886	12.939251434141614	40.94778462338113
SAMD00164888	5.131124200535149	18.70782189688545
SAMD00164890	3.7262804704165755	14.248442370596635
SAMD00164891	4.0707210440781045	15.1069281975854
SAMD00164895	4.069754496676002	15.302302201463815
SAMD00164896	4.18839533646061	16.031027658796074
SAMD00164897	6.106831311780676	23.12533321000653
SAMD00164898	7.883418935021949	28.35559988638165
SAMD00164899	2.47759197402948	11.637775433683025
SAMD00164901	11.078329248850423	36.52124844167933
SAMD00164902	20.642319991925334	62.79121935567969
SAMD00164904	7.328232395253572	25.015154711246566
SAMD00164908	9.937398853785218	35.58304508062733
SAMD00164909	3.209707610289852	12.350711534438759
SAMD00164911	6.437569980190756	21.082357493086196
SAMD00164914	9.155179710067937	27.250855975975483
SAMD00164915	6.736555446751555	23.427804085941098
SAMD00164916	4.192340054024523	15.712047129933886
SAMD00164917	8.381356230238643	32.04200461938199
SAMD00164918	8.30672442619544	29.232852298870302
SAMD00164920	5.594135991318402	19.474832154874317
SAMD00164923	3.6409958774114317	14.402147452516362
SAMD00164926	3.0286080786692957	10.944465817106822
SAMD00164927	6.858043202849718	26.248145580800344
SAMD00164929	5.086513072506741	19.186967090243517
SAMD00164930	9.040524520184597	32.01816937906776
SAMD00164931	6.505026836395264	23.917268071107365
SAMD00164933	3.4972285657574647	12.815999897470721
SAMD00164934	2.21747071904007	9.707561915592784
SAMD00164935	3.5076640229369738	13.577036626595556
SAMD00164936	5.042821449044503	18.47410406436748
SAMD00164938	8.85518713522376	30.571256737166483
SAMD00164939	3.547316270833719	14.705875222816179
SAMD00164941	4.497459371209486	16.137848260327488
SAMD00164947	9.083584026256116	29.22833796677437
SAMD00164949	4.1050693047946405	14.158275676758155
SAMD00164950	2.9369999301004084	11.35692843832039
SAMD00164951	11.811972138691779	41.98680522690744
SAMD00164952	5.661688895890953	21.092749693530344
SAMD00164953	5.311305800257286	20.367011418264763
SAMD00164954	2.9516076834488376	11.174624002503608
SAMD00164955	4.16011309214688	16.57335563099521
SAMD00164956	3.6604023256467606	13.47697770590496
SAMD00164957	4.634517200642784	17.602928254930855
SAMD00164958	4.326480199654283	17.155246911947803
SAMD00164960	4.748144549574526	17.774388795339718
SAMD00164961	5.390208112324471	18.515359217064756
SAMD00164962	6.485852633140455	22.810707728199237
SAMD00164963	26.136086070654105	68.0804042050959
SAMD00164964	3.3171897099724643	13.214014539929794
SAMD00164965	7.244729559684662	22.915771320670427
SAMD00164966	10.458842140078161	35.27401554588443
SAMD00164967	5.549880835118174	18.707979744045986
SAMD00164969	33.482473668499	106.6312888851591
SAMD00164972	14.229686767292616	43.61271830957823
SAMD00164973	5.367777523842039	20.368709197132866
SAMD00164983	3.587400832556527	13.282618588663702
SAMD00164986	6.970198838126931	25.84245459067199
SAMD00164996	10.755497484459504	35.815586440902344
SAMD00164999	7.094707143809737	26.231692614938698
SAMD00165001	3.631172831588328	14.802115398595168
SAMD00165004	2.479029049736238	9.999572045575563
SAMD00165008	5.653310444394357	20.699362780207295
SAMD00165010	14.781022093654432	49.123464807344625
SAMD00165015	4.914444708662249	20.2562097564587
SAMD00165020	3.8493480467821932	11.6494723114257
SAMD00165021	7.879181145826239	26.474296896313025
SAMD00165022	6.634885366577387	22.89573599734876
SAMD00165023	5.515273763174538	19.58878211079519
SAMD00165024	9.968697433297612	37.711196385688844
SAMD00165025	6.627633652305763	24.447755494130934
SAMD00165026	1.3752375984764968	5.845533962939678
SAMD00165027	5.784450877326772	22.244667705254642
SAMD00165028	2.8244096440036444	8.19616116633862
SAMD00165029	5.490932522163357	19.486480558475044
SAMD00165030	5.2333911862164975	18.848956691392047
SAMD00165031	5.104684468434572	20.959523103207477
SAMD00165032	7.9564191413700565	26.12337763846262
SAMD00165033	2.469544902082141	9.581333602598628
